h_dormir,h_alimentarse,h_cuipersonal,h_estudio,h_domesticas,h_ocio,h_medico,sexo,edad,educ_in,anio_ed,publ,trabaja_rem,hijos,celular,log_ing,AFAM_h,aniosed_h,act,inact,servdom_pag,tv,tv_abon,compu,disc_h,mdeo
8,2,.5,7,.5,2,0,1,15,1,3,0,0,0,1,11.44674363879068,0,17.33333333333333,3,3,1,1,1,1,0,0
7,1,1,0,1.5,0,0,1,26,1,5,1,1,0,1,10.93519633309571,0,13,0,3,0,1,0,1,0,1
12,1,1,0,0,2,0,1,16,1,1,1,0,0,1,10.11080045778226,0,9,2,1,0,1,1,0,0,0
7,.5,.5,5,0,0,0,1,16,1,2,1,0,0,0,10.33665806276447,1,4,1,3,0,1,1,0,0,1
8,1,1,4,0,2,0,0,14,1,3,1,0,0,0,9.975808214115753,0,12.5,2,2,0,1,1,1,0,0
9,1,2,4,0,1,0,1,17,1,5,0,0,0,1,11.72135034614967,0,14.33333333333333,2,2,0,1,1,1,0,1
6,1,.5833333134651184,8,1,4,0,1,16,1,3,1,1,0,1,10.61521234566212,0,9,1,2,0,1,1,1,0,0
6,1,.3499999940395355,4,.6666666865348816,2,0,1,15,1,1,1,0,0,0,10.61521234566212,0,9,1,2,0,1,1,1,0,0
6,1,.5,6,0,0,1.5,1,14,1,2,0,0,0,1,11.05638724875805,0,9,2,2,1,1,1,1,0,1
8,2,1.5,5,0,0,0,0,16,1,4,0,0,0,1,11.05638724875805,0,9,2,2,1,1,1,1,0,1
8,1.5,1,0,0,0,0,1,22,1,2,1,1,0,1,10.72694673027384,0,7.2,1,6,0,1,1,1,0,0
8,1,1,0,0,0,0,0,20,1,2,1,1,0,1,10.72694673027384,0,7.2,1,6,0,1,1,1,0,0
10,2,1,0,0,0,0,1,17,1,1,1,1,0,0,10.72694673027384,0,7.2,1,6,0,1,1,1,0,0
11,.6666666865348816,.4166666567325592,.5,0,3,0,1,15,1,3,1,0,0,1,10.21151254747482,0,9,3,1,0,1,1,1,0,0
10,.25,.3333333432674408,.5,0,0,0,1,14,1,3,1,0,0,1,10.49521228638917,0,9.5,1,2,0,1,1,1,0,0
7,1,1.166666626930237,1,7,0,0,0,40,1,5,1,0,1,1,11.03858283586485,0,9.666666666666666,1,4,0,1,1,1,0,0
9,1.75,2,2,1.75,2,0,1,18,1,3,1,0,0,1,11.03858283586485,0,9.666666666666666,1,4,0,1,1,1,0,0
9,1.5,1,8,0,2,0,1,14,1,2,0,0,0,0,10.49811962298483,0,8,1,4,0,1,1,1,0,1
9,2,2.5,0,0,4,0,0,14,1,2,1,0,0,0,10.27664934230383,1,8.5,1,4,0,1,1,1,0,0
9,1.5,1,7,.5,0,0,0,17,1,3,1,0,0,1,10.16637533326613,1,4,2,4,0,1,1,1,0,0
8,1.5,1,6,.5,0,0,0,15,1,3,1,0,0,1,10.16637533326613,1,4,2,4,0,1,1,1,0,0
8,1,.6666666865348816,3,1,2,0,0,20,1,4,1,0,0,1,11.14107364699438,0,14,2,2,0,1,1,1,0,1
6,1,1,0,3,.5,0,0,37,1,5,1,1,1,1,10.60023075963539,1,10,1,5,0,1,1,1,0,0
8,1,.6666666865348816,3,1,1.5,0,1,14,1,2,1,0,0,1,10.60023075963539,1,10,1,5,0,1,1,1,0,0
8,1,.5,0,0,2,0,1,22,1,5,1,1,0,1,11.38985520152636,0,13,2,2,0,1,1,1,0,1
8,1,.5,5,0,4,0,1,18,1,3,0,0,0,1,10.73828228789056,0,12,0,3,0,1,0,1,0,1
7,.5,1,6,0,0,0,0,14,1,2,1,0,0,1,11.36708317468857,0,15.33333333333333,1,4,0,1,1,1,0,0
8,2,.3333333432674408,0,.1666666716337204,0,0,1,14,1,1,1,0,0,0,9.168476167877484,0,4,1,1,0,1,0,0,0,0
8,1,1,0,0,0,0,1,21,1,5,1,0,0,1,11.80506807441892,0,14.33333333333333,2,2,0,1,1,1,0,0
7,1,1,5,1,0,0,1,17,1,5,1,0,0,1,11.80506807441892,0,14.33333333333333,2,2,0,1,1,1,0,0
10,3,1,0,2,8,0,0,17,1,2,1,0,0,1,9.513525091851351,1,10,0,4,0,0,0,0,0,1
9,2,1,0,0,7,0,0,16,1,1,1,0,0,0,9.513525091851351,1,10,0,4,0,0,0,0,0,1
8,3,1,3,3,0,0,0,34,0,6,1,1,1,1,11.02720624351059,1,10.5,0,4,0,1,1,1,0,0
8,1,2,5,.3333333432674408,0,1,0,17,1,2,1,0,0,1,11.04246092952355,0,8,1,4,0,1,0,1,0,0
6,.5333333611488342,.5,2,0,0,0,0,20,1,5,1,0,0,0,9.53348852159513,0,7.666666666666667,3,0,0,1,1,1,0,0
0,.5,.5166666507720947,2,0,0,0,0,19,1,4,1,0,0,0,9.53348852159513,0,7.666666666666667,3,0,0,1,1,1,0,0
7,1,1,6,0,2,0,0,16,1,4,0,0,0,1,11.02147165676012,0,18,1,2,0,1,1,1,0,1
8,1.5,1.5,5,1,0,0,0,23,1,5,0,0,0,1,11.58706437950237,0,13,0,3,0,1,0,1,0,1
8,.5,.1666666716337204,0,0,3,0,1,14,1,2,1,0,0,0,10.59062823012008,1,11,1,3,0,1,1,1,0,1
4,.5,.3333333432674408,5,2,.75,0,0,15,1,1,1,0,0,0,10.07343718233685,1,6,1,3,0,1,1,1,0,1
10,1,1,0,1,3,0,1,16,1,4,1,0,0,1,10.16726428054563,1,9,2,3,0,1,1,1,0,0
7,.5,1,8,0,2,0,0,17,1,5,0,0,0,1,11.60286177683089,0,16.5,1,2,1,1,1,1,0,1
10,.5,.5,5,3,0,0,0,17,1,5,1,0,0,1,9.760057039175749,1,9,1,2,0,1,1,0,0,0
8,.5,.5,4,0,5.5,0,1,14,1,2,1,1,0,0,10.5756962960121,1,8,1,6,0,1,1,1,1,0
0,.5,2,0,1,0,0,0,14,1,1,1,1,0,0,9.370014311254552,1,8,0,5,0,1,0,0,0,0
9,2,2,0,0,0,0,1,14,1,1,1,1,0,0,9.370014311254552,1,8,0,5,0,1,0,0,0,0
8,.3333333432674408,.1666666716337204,0,0,1,0,1,21,1,5,1,0,0,1,10.58189521249465,1,8.4,1,6,0,1,1,0,0,1
8,2,2,4,0,0,0,0,16,1,4,0,0,0,1,12.46432886815185,0,16.33333333333333,1,4,0,1,1,1,0,1
8,1.75,.3333333432674408,0,0,12,0,1,17,1,5,1,0,0,1,11.17873648059853,1,8.333333333333334,4,5,0,1,0,1,0,0
9,1.5,.3333333432674408,0,4,1,0,0,16,1,3,1,0,1,1,11.17873648059853,1,8.333333333333334,4,5,0,1,0,1,0,0
8,1.5,1.666666626930237,1,0,2,0,0,15,1,1,1,0,0,0,10.65639865107281,1,7.5,1,5,0,1,1,1,0,1
6,.5,1,0,3,0,0,0,19,1,3,1,0,0,1,10.3297490206041,1,9.25,3,2,0,1,0,1,0,1
9,.6666666865348816,1.5,5,0,2,0,1,14,1,1,1,0,0,1,10.3297490206041,1,9.25,3,2,0,1,0,1,0,1
7,1,1,5,0,0,0,1,15,1,2,1,0,0,1,9.495372910684985,1,7.5,1,5,0,1,0,1,0,0
10,1,1.5,0,0,2,0,0,19,1,2,1,1,0,1,9.94270826568941,0,9.5,0,2,0,1,0,1,1,0
8,1,1,.9833333492279053,2,3,0,0,18,1,4,1,0,1,1,9.892505114513797,1,5,4,2,0,1,0,1,0,0
8,1,1,6,0,0,0,1,16,1,1,1,0,0,0,10.60560587182579,0,7.5,1,3,0,1,1,1,0,1
12,1.100000023841858,1,2,1,1,0,0,14,1,1,1,0,0,0,10.18443038981781,1,6,2,3,0,1,1,1,0,0
8,1,.5,3,0,4,0,1,17,1,5,1,0,0,1,10.18443038981781,1,6,2,3,0,1,1,1,0,0
10,2,.5,0,0,2,0,1,17,1,2,1,0,0,1,10.16117022062993,1,7.5,1,3,0,1,1,1,0,1
9,1,1,6,.1666666716337204,1,3,0,14,1,1,1,0,0,0,9.370807843758083,1,6,1,3,0,1,0,1,0,1
6,.5,.6666666865348816,7,0,1,0,1,17,1,3,1,0,0,0,11.15943202610136,1,9,5,2,0,1,1,0,0,0
10,2,1.5,6.5,0,0,2,0,18,1,5,1,0,0,1,10.11080045778226,0,12,1,1,0,1,1,0,0,0
8,.8333333134651184,1,2,0,0,0,1,15,1,4,1,0,0,1,10.33946246684887,0,10,2,2,0,1,1,1,0,0
9,2,1,5.5,0,0,0,0,18,1,4,1,1,0,1,10.54534143870852,0,7.8,1,5,0,1,1,1,0,0
9.5,3,1.083333373069763,5,0,1,0,0,15,1,3,1,0,0,1,10.54534143870852,0,7.8,1,5,0,1,1,1,0,0
6,1.5,1,4,0,1.333333373069763,0,0,17,1,5,0,0,0,1,11.15216647838527,0,9.666666666666666,3,1,0,1,1,1,0,0
8,1,.25,0,0,2,0,1,19,1,2,1,1,0,1,10.84796527235831,0,9.333333333333334,0,4,0,1,1,1,0,0
7,1,.1666666716337204,0,0,8,0,1,14,1,2,0,0,0,1,10.80502579965073,0,10.5,1,2,0,1,1,1,0,1
9,1.333333373069763,1,7,2,2,0,0,16,1,4,1,0,0,0,10.29623854351487,1,7.5,2,4,0,1,0,1,0,1
9,1,1,6,0,3,0,0,14,1,3,1,0,0,1,10.29623854351487,1,7.5,2,4,0,1,0,1,0,1
